draw_date,n1,n2,n3,n4,n5,n6,prize_4_1,prize_4_0,prize_3_1,prize_3_0
5/30/2012,3,4,7,31,32,5,69,25,11,5
6/1/2012,2,4,5,7,31,2,71,21,10,4
6/4/2012,14,15,17,21,27,1,120,25,11,4
6/6/2012,7,16,20,21,35,2,102,24,10,5
6/8/2012,5,8,11,23,28,5,73,24,9,4
6/11/2012,6,10,14,15,25,5,113,23,9,4
6/13/2012,9,25,32,33,35,4,156,33,10,5
6/15/2012,12,17,20,22,31,4,84,24,11,5
6/18/2012,3,5,6,8,12,1,79,16,10,4
6/20/2012,13,17,20,21,35,4,109,25,9,5
6/22/2012,13,19,25,32,34,3,87,29,10,5
6/25/2012,2,10,15,30,31,3,116,22,9,5
6/27/2012,6,8,12,13,20,4,94,24,9,4
6/29/2012,1,12,15,19,29,1,115,34,11,5
7/2/2012,4,21,23,29,35,2,148,29,9,5
7/4/2012,1,9,11,13,19,4,80,19,9,4
7/6/2012,11,16,28,30,32,5,153,35,11,5
7/9/2012,2,3,8,11,27,4,71,18,10,4
7/11/2012,4,16,20,24,31,2,145,30,11,5
7/13/2012,11,13,15,16,24,4,131,26,8,5
7/16/2012,11,12,13,15,27,4,49,15,8,4
7/18/2012,1,24,27,31,33,1,179,27,12,5
7/20/2012,2,9,23,29,32,1,151,24,10,5
7/23/2012,1,12,16,22,24,1,121,25,11,5
7/25/2012,2,6,15,25,31,1,191,17,11,5
7/27/2012,6,14,18,33,35,4,80,34,10,5
7/30/2012,14,16,21,32,33,4,98,29,10,5
8/1/2012,7,9,11,25,26,3,125,21,7,4
8/3/2012,3,9,14,17,35,2,105,21,9,5
8/6/2012,5,10,12,17,33,2,70,25,10,4
8/8/2012,10,11,21,33,34,5,131,24,11,5
8/10/2012,7,9,15,25,28,3,102,24,8,4
8/13/2012,8,9,14,24,27,3,110,21,9,4
8/15/2012,8,15,21,34,35,3,131,23,11,5
8/17/2012,2,4,31,34,35,4,146,32,11,5
8/20/2012,9,15,17,22,24,2,92,28,9,4
8/22/2012,11,17,21,32,35,1,112,29,10,4
8/24/2012,18,20,23,29,32,4,68,24,10,5
8/27/2012,1,4,11,26,32,1,153,26,11,5
8/29/2012,4,5,13,21,23,4,88,20,9,4
8/31/2012,5,7,13,29,35,2,131,24,10,4
9/3/2012,7,23,27,30,33,1,80,23,10,4
9/5/2012,4,22,29,32,35,2,120,33,11,5
9/7/2012,9,14,18,30,32,5,244,29,10,5
9/10/2012,1,3,6,18,31,5,148,25,11,5
9/12/2012,4,6,13,17,20,2,120,24,10,5
9/14/2012,17,20,24,28,30,5,127,34,11,5
9/17/2012,4,9,14,22,28,5,106,19,10,4
9/19/2012,3,4,13,22,32,4,65,25,9,5
9/21/2012,3,11,20,26,34,1,102,28,12,5
9/24/2012,4,10,18,22,25,1,157,23,10,4
9/26/2012,1,27,28,32,33,5,180,30,13,6
9/28/2012,13,15,16,17,23,3,61,24,9,5
10/1/2012,18,22,23,31,34,4,128,44,11,5
10/3/2012,3,6,20,31,32,4,98,30,11,6
10/5/2012,8,20,21,26,30,4,184,23,10,5
10/8/2012,5,17,24,29,30,3,76,34,9,5
10/10/2012,4,10,25,29,31,2,92,34,10,5
10/12/2012,9,10,17,27,29,3,70,21,8,4
10/15/2012,4,9,14,21,25,2,115,27,9,4
10/17/2012,1,3,22,25,34,2,145,26,13,5
10/19/2012,9,11,16,21,23,5,88,23,8,4
10/22/2012,4,6,7,13,26,5,120,22,9,4
10/24/2012,1,7,8,10,33,1,88,26,10,4
10/26/2012,5,7,21,33,34,1,101,23,11,4
10/29/2012,4,13,16,23,33,3,63,20,8,4
10/31/2012,1,4,11,26,28,3,188,31,9,5
11/2/2012,1,2,6,17,25,3,112,27,10,5
11/5/2012,5,11,17,20,28,2,114,20,10,4
11/7/2012,13,19,21,27,31,4,81,22,8,4
11/9/2012,1,5,9,25,31,5,138,20,9,5
11/12/2012,3,17,23,24,25,1,204,27,11,4
11/14/2012,11,15,26,31,33,1,62,29,11,5
11/16/2012,8,10,15,16,30,1,103,27,11,5
11/19/2012,5,9,25,30,35,3,175,22,10,4
11/21/2012,5,12,19,28,29,4,175,22,9,4
11/23/2012,15,19,28,32,35,4,99,26,10,5
11/26/2012,3,9,14,15,35,2,63,21,10,5
11/28/2012,6,9,16,20,34,4,142,28,9,5
11/30/2012,4,9,12,14,21,3,179,20,8,4
12/3/2012,3,13,18,27,35,1,130,24,11,4
12/5/2012,5,8,25,29,30,1,99,27,11,5
12/7/2012,7,10,16,19,33,1,125,22,11,4
12/10/2012,4,6,12,26,29,1,132,22,11,5
12/12/2012,6,8,14,25,32,2,104,27,10,5
12/14/2012,2,4,28,30,35,5,123,26,10,5
12/17/2012,2,5,15,26,34,5,78,34,10,5
12/19/2012,3,6,10,30,32,4,148,31,10,5
12/21/2012,13,15,17,20,31,2,82,31,10,5
12/24/2012,4,7,11,24,32,3,52,18,8,4
12/26/2012,4,10,18,26,34,1,67,20,10,5
12/28/2012,1,15,18,26,28,1,151,26,11,5
12/31/2012,10,15,16,29,34,5,99,29,11,5
1/2/2013,12,15,22,25,29,2,117,24,10,5
1/4/2013,1,10,11,29,35,3,115,31,9,5
1/7/2013,3,5,7,14,34,1,67,19,9,4
1/9/2013,1,11,15,23,33,1,150,31,10,5
1/11/2013,9,16,20,21,25,5,99,24,10,5
1/14/2013,5,6,13,25,29,2,87,25,10,5
1/16/2013,5,17,23,28,35,5,106,22,8,5
1/18/2013,3,28,31,34,35,4,120,34,12,5
1/21/2013,7,19,23,24,27,5,102,20,8,4
1/23/2013,2,17,19,28,29,2,62,23,9,5
1/25/2013,1,13,18,23,32,2,81,26,11,5
1/28/2013,10,13,22,27,32,3,110,27,10,5
1/30/2013,2,26,27,31,33,5,130,27,11,5
2/1/2013,4,5,15,25,27,4,114,24,9,4
2/4/2013,20,22,23,27,33,2,376,26,11,5
2/6/2013,7,10,12,17,22,1,43,12,9,4
2/8/2013,6,8,12,23,31,1,107,20,9,4
2/11/2013,2,17,21,26,27,4,97,31,9,5
2/13/2013,11,20,23,25,30,4,110,27,10,5
2/15/2013,2,21,25,28,33,4,127,31,11,5
2/18/2013,1,4,6,25,31,2,122,26,11,5
2/20/2013,5,19,21,28,29,3,73,27,9,5
2/22/2013,1,6,21,27,35,2,132,30,11,5
2/25/2013,7,11,16,26,27,3,95,22,10,4
2/27/2013,5,7,14,33,34,1,113,24,11,5
3/1/2013,2,7,18,30,34,1,168,28,11,5
3/4/2013,2,10,13,24,27,4,60,25,10,4
3/6/2013,10,12,16,27,28,2,179,27,10,5
3/8/2013,1,2,10,31,32,5,166,32,11,5
3/11/2013,1,8,11,13,17,1,144,22,10,4
3/13/2013,3,12,15,22,25,3,70,25,8,4
3/15/2013,3,20,25,29,30,1,112,33,11,5
3/18/2013,1,3,14,30,31,5,151,31,10,5
3/20/2013,1,6,14,20,28,2,104,29,10,5
3/22/2013,4,21,25,32,33,3,115,29,10,5
3/25/2013,6,10,11,14,35,5,108,23,10,5
3/27/2013,7,11,14,23,33,4,75,21,9,4
3/29/2013,5,7,18,30,34,4,90,25,10,5
4/1/2013,4,10,23,28,35,5,75,25,10,5
4/3/2013,10,13,14,21,33,5,103,23,10,4
4/5/2013,4,11,12,16,22,4,97,29,10,4
4/8/2013,7,13,23,30,33,5,71,20,9,4
4/10/2013,4,9,14,27,35,4,72,26,9,5
4/12/2013,7,11,23,29,33,1,85,14,9,4
