draw_date,n1,n2,n3,n4,n5,prize_4_1,prize_4_0,prize_3_1,prize_3_0,prize_2_1
5/24/2012,2,18,24,25,10,0,2161,56,21,21
5/28/2012,1,13,25,34,3,225000,1700,64,22,22
5/31/2012,7,12,19,23,1,0,924,45,18,23
6/4/2012,8,19,20,34,18,0,1059,49,21,21
6/7/2012,3,12,30,32,35,350000,3874,46,20,20
6/11/2012,4,6,21,29,21,200000,2109,36,21,17
6/14/2012,8,12,26,28,1,200000,2059,58,20,22
6/18/2012,21,23,28,34,27,0,4223,53,24,22
6/21/2012,1,11,17,19,20,0,1899,41,18,18
6/25/2012,2,6,19,20,26,0,1733,46,20,19
6/28/2012,2,15,30,35,23,0,1278,51,23,21
7/2/2012,3,15,23,27,24,0,1075,52,21,21
7/5/2012,9,16,24,32,19,0,870,51,20,18
7/9/2012,1,9,21,31,4,1100000,2701,38,20,20
7/12/2012,14,16,20,26,32,0,2185,63,21,23
7/16/2012,2,13,27,29,16,225000,1160,71,21,22
7/19/2012,3,7,8,17,10,0,2135,38,16,16
7/23/2012,9,15,18,23,30,225000,1127,53,19,21
7/26/2012,5,23,29,30,6,0,1127,52,23,22
7/30/2012,19,20,21,33,7,0,4397,54,21,18
8/2/2012,7,21,22,34,31,0,1116,44,21,21
8/6/2012,5,15,26,35,35,0,1361,40,20,22
8/9/2012,13,14,24,31,23,0,1749,50,22,22
8/13/2012,11,16,18,22,5,900000,1581,44,20,20
8/16/2012,5,15,25,30,31,0,655,41,17,21
8/20/2012,10,20,28,32,20,0,716,41,19,19
8/23/2012,13,20,31,33,26,0,2601,77,23,21
8/27/2012,7,10,16,22,32,0,2333,49,19,21
8/30/2012,9,27,29,35,4,0,1717,48,20,21
9/3/2012,25,27,30,35,11,875000,1691,46,21,19
9/6/2012,2,8,27,31,4,0,2610,42,22,20
9/10/2012,5,16,23,25,27,225000,6654,52,20,20
9/13/2012,6,15,20,31,6,0,1703,59,21,21
9/17/2012,9,17,20,23,18,0,1410,35,18,18
9/20/2012,4,9,14,21,5,0,1092,56,19,19
9/24/2012,8,15,17,29,32,0,1860,35,21,21
9/27/2012,16,21,27,35,22,0,1106,64,22,22
10/1/2012,8,10,17,32,3,800000,1751,71,21,21
10/4/2012,6,15,23,25,33,0,868,44,21,19
10/8/2012,1,4,16,33,3,225000,1382,58,22,21
10/11/2012,2,5,12,22,13,0,982,36,17,19
10/15/2012,3,8,15,20,25,0,1557,35,19,18
10/18/2012,6,8,29,30,28,0,1554,61,21,21
10/22/2012,2,12,20,25,2,0,2068,46,19,19
10/25/2012,8,20,28,35,20,600000,1535,49,23,20
10/29/2012,4,6,15,22,7,0,3875,44,19,19
11/1/2012,5,9,15,34,20,225000,2464,43,21,20
11/5/2012,19,24,26,34,15,200000,6031,51,22,20
11/8/2012,1,8,25,30,15,0,953,46,20,21
11/12/2012,14,19,20,21,11,0,2936,39,21,18
11/15/2012,3,12,14,29,5,0,3325,56,19,20
11/19/2012,2,6,15,28,11,425000,1586,47,21,18
11/22/2012,7,23,26,33,12,0,1351,41,20,18
11/26/2012,8,12,13,23,5,0,3000,38,20,19
11/29/2012,7,18,24,26,14,0,1177,48,20,20
12/3/2012,5,8,28,33,14,0,1692,62,23,21
12/6/2012,1,2,7,31,16,0,1930,53,20,22
12/10/2012,10,13,24,34,28,0,1362,48,20,22
12/13/2012,8,16,19,35,33,0,1904,53,21,22
12/17/2012,1,11,25,26,7,1250000,2391,52,20,18
12/20/2012,3,10,15,35,27,200000,1257,53,19,21
12/24/2012,6,8,15,27,28,0,1023,56,19,21
12/27/2012,7,17,31,34,11,0,1522,48,20,18
12/31/2012,9,13,14,22,1,0,1480,50,21,23
1/3/2013,5,9,17,24,25,0,993,43,18,17
1/7/2013,2,8,20,23,1,0,1246,64,19,22
1/10/2013,2,18,21,26,3,900000,1752,47,20,22
1/14/2013,10,15,17,27,7,0,2473,45,20,16
1/17/2013,25,27,30,35,3,0,1596,45,22,21
1/21/2013,2,8,13,31,2,0,2105,41,19,21
1/24/2013,4,17,31,35,2,0,2875,78,22,22
1/28/2013,6,15,19,29,20,650000,1269,52,20,19
1/31/2013,2,14,30,31,1,0,1992,46,23,24
2/4/2013,13,15,16,26,18,0,1625,48,21,20
2/7/2013,4,20,25,33,32,0,1390,60,22,22
2/11/2013,6,15,25,26,12,0,2032,56,21,20
2/14/2013,6,10,29,34,29,0,1448,45,23,19
2/18/2013,2,14,24,29,3,0,1341,70,21,21
2/21/2013,1,9,11,33,8,1100000,1413,63,20,19
2/25/2013,9,25,30,32,27,0,2116,49,21,22
2/28/2013,4,13,14,21,3,0,1699,59,20,21
3/4/2013,25,27,29,34,17,325000,1271,38,22,19
3/7/2013,4,5,30,32,21,0,1572,59,23,20
